Energy,Variance,Alpha
-0.15714557059825807,0.00229461475892892,0.31093440938740385
-0.25266239692744413,0.04134846796685836,0.6019141001183179
-0.3542879978013762,0.019925429302694253,0.8597826018319206
-0.5039020105736358,0.0053559710935329186,0.90395458580929
-0.5062761116871822,0.00807548139035058,0.9473568341049089
-0.48905725387767884,-0.000536835805422714,0.9682275057462133
-0.4990211568879149,0.00042801676018339174,1.0313713385693817
-0.5050843334285515,-0.0009163420403452971,1.0259122871342872
-0.4980393596040451,-0.0006714188576010804,1.018290297521522
-0.503962720565769,-0.0011038331627193365,1.0143314418045113
-0.5014723990786265,-0.0010822542198927199,1.0120480274743373
-0.5002012859931206,-0.0011066634136993603,1.0087810238028005
-0.4996433846072835,-0.001131447288907128,1.007457267375282
-0.5029013613318046,-0.0012386924911470532,1.0089064090308897
-0.504281757498792,-0.0011898717857687924,1.0087200969637835
-0.5026658279172557,-0.0012153759978814627,1.008863247860962
-0.5039778097078993,-0.001232709543887045,1.0095494422211275
-0.5062745998508301,-0.0012541663420667093,1.0117893280152035
-0.5015252575908676,-0.0010924608960587445,1.0103977664361636
-0.5024555135151895,-0.0011226161792960987,1.0090734500178211
-0.5013484685274111,-0.0011317440513265997,1.0078750774403291
-0.5006286504767234,-0.001145264472914298,1.0070395101386682
-0.5043077288963436,-0.0012514373231382048,1.0089340798409454
-0.502051086201785,-0.0011916082341059675,1.0080301124433761
-0.5027406671069772,-0.001190711566310676,1.0074712688243888
-0.5041564014397589,-0.0012275813140684155,1.007016903856757
-0.5043620015240443,-0.0012601237988316139,1.0098323250067631
-0.5045297070598465,-0.0012261953426350725,1.0094293957440823
-0.5039921835176486,-0.001202714774789726,1.008497736033335
-0.5008617293752816,-0.0010979423903500762,1.0075082219249656
